Recall,Precision,Threshold
1.0,0.038266741699493526,1.9791498e-05
1.0,0.038288288288288286,2.042959e-05
1.0,0.03830985915492958,2.0456475e-05
1.0,0.038331454340473504,2.0468202e-05
1.0,0.03835307388606881,2.0523928e-05
1.0,0.03837471783295711,2.0855856e-05
1.0,0.038396386222473176,2.0992304e-05
1.0,0.0384180790960452,2.099675e-05
1.0,0.03843979649519502,2.1016422e-05
1.0,0.038461538461538464,2.1218735e-05
1.0,0.038483305036785515,2.1286834e-05
1.0,0.03850509626274066,2.1295566e-05
1.0,0.038526912181303115,2.134316e-05
1.0,0.03854875283446712,2.157994e-05
1.0,0.038570618264322176,2.159989e-05
1.0,0.03859250851305335,2.1609285e-05
1.0,0.03861442362294151,2.1622189e-05
1.0,0.038636363636363635,2.1704662e-05
1.0,0.038658328595793066,2.185158e-05
1.0,0.038680318543799774,2.1927483e-05
1.0,0.03870233352305066,2.19675e-05
1.0,0.0387243735763098,2.197716e-05
1.0,0.038746438746438745,2.2069993e-05
1.0,0.03876852907639681,2.226471e-05
1.0,0.0387906446092413,2.2863574e-05
1.0,0.03881278538812785,2.2965012e-05
1.0,0.038834951456310676,2.2969482e-05
1.0,0.038857142857142854,2.3185023e-05
1.0,0.03887935963407661,2.3192453e-05
1.0,0.038901601830663615,2.32071e-05
1.0,0.038923869490555235,2.3252825e-05
1.0,0.038946162657502864,2.353138e-05
1.0,0.03896848137535817,2.4051018e-05
1.0,0.0389908256880734,2.4175675e-05
1.0,0.03901319563970167,2.4216426e-05
1.0,0.03903559127439724,2.4309536e-05
1.0,0.039058012636415854,2.4376555e-05
1.0,0.03908045977011494,2.4407354e-05
1.0,0.039102932719954,2.455872e-05
1.0,0.039125431530494824,2.4624575e-05
1.0,0.03914795624640184,2.4661917e-05
1.0,0.03917050691244239,2.4863919e-05
1.0,0.03919308357348703,2.4957995e-05
1.0,0.0392156862745098,2.5098816e-05
1.0,0.03923831506058857,2.5210438e-05
1.0,0.03926096997690531,2.564881e-05
1.0,0.039283651068746386,2.5658768e-05
1.0,0.03930635838150289,2.5774869e-05
1.0,0.03932909196067091,2.6113277e-05
1.0,0.03935185185185185,2.6253483e-05
1.0,0.03937463810075275,2.6311633e-05
1.0,0.039397450753186555,2.6425798e-05
1.0,0.03942028985507246,2.6557675e-05
1.0,0.03944315545243619,2.682489e-05
1.0,0.03946604759141033,2.685745e-05
1.0,0.03948896631823461,2.7038703e-05
